S.No,DISTRICT,Dr. B. R. Ambedkar Gurukulam ,DISE Code
60,Kadapa,SAGILERU,28200801110
70,Kadapa,B. MATHAM,28200700631
78,Kakinada,TUNI,28140601520
122,NTR,RANGAPURAM,28161500910
132,Palnadu,VINUKONDA,28174301129
136,Palnadu,SATTENAPALLI,28171591020
137,Palnadu,YEDLAPADU,28173700408
142,Prakasam,KURICHEDU,28180401129
165,Sri Satyasai district,ROLLA,28226300333
166,Sri Satyasai district,"Dr. B. R. Ambedkar Gurukulam, Hindupur",28225791370
170,Srikakulam,SRIKAKULAM,28111990661
173,Srikakulam,TAMARAPALLI,28112202902
176,Visakhapatnam,SRIKRISHNAPURAM,28132890944
190,West Godavari,NEW ARUGOLANU,28151801510
