school_name,school_code
Residential School Principal Kuppam,28237101954
"GOVT SW COLLEGE GIRLS HOSTEL-III, ONGOLE",0701-2402-049
GOVT SW COLLEGE GIRLS HOSTEL C K DINNE,1201-2402-027
APRS VIJAYAWADA,28161791043
KGBV CHENNA REDDY NAGAR,28204601311
Govt SC College Girls Hostel-2 Anantapur,1001-2402-016
GOVT.SWCOLLEGE GIRLS HOSTELNO.2 CHITTOOR,1101-2402-042
"Govt SW Girls Hostel No.2, Kalyandurg",1008-2402-010
"GOVT BC BOYS HOSTEL, KURNOOL",0901-2503-005
APRS Kalayanadurgam,28223400405
"Govt. SW Girls Hostel, Ravikamatham",0210-2402-005
GOVT B.C COLLEGE BOYS HOSTEL DHARMAVARAM,1003-2503-010
SWBH 2 KAKINADA,0301-2402-004
"GOVT SW BOYS HOSTEL, TRIPURANTHAKAM",0713-2402-008
GOVT.B.C.COLLEGE BOYS HOSTEL-PONNUR,0617-2503-007
"GOVT BC COLLEGE GIRLS HOSTEL, CHEEPURUPALLI",2204-2501-004
"SW ANANDANILAYAM (BOYS), VENKATAGIRI",0810-2402-012
APRJC  NIMMAKURU,28163901137
GTW ASHRAM SCHOOL(BOYS) NALLAMADA,1018-2403-003
"GOVT. B.C. BOYS HOSTEL, NALLAPUREDDIPALLI",1209-2503-004
"GOVERNMENT SW GIRLS HOSTEL , DHONE",0907-2402-003
A.P MODEL SCHOOL ORVAKAL,28211701115
"EMRS(CO-EDU),KOYYURU",28131210116
"GOVT.S.W.BOYS HOSTEL NO.2, V.N.PALLI",1205-2402-009
"GOVT BC BOYS HOSTEL, C.BELGAL",0908-2503-006
"APTWRJC(B),P.KONAVALASA",28121200706
KGBV. KBITRAGUNTA,28184902010
"GOVT SW BOYS HOSTEL-I, CUMBUM",0704-2402-003
"MJBCWREIS, Srisailam",28211290808
"SW BOYS HOSTEL, PARIMELLA",0414-2402-015
"GOVT.S.W.GIRLS HOSTEL NO.2, RAYACHOTY",1212-2402-012
KGBV SIDDAVARAM PEDDAMANDYAMMANDAL,28230100706
APRS NAGIREDDYGUDEM,28150902824
KGBV  NARPALA,28222700422
KGBV MIDTHUR,28211600414
APRS KAMMANAPALLE,28236101106
"APBCWRS ,AREKAL",28212391302
SW GIRLS HOSTEL JUPADU BUNGALOW,0911-2402-005
Govt. SW GirlsHostel Peddavadaguru,1004-2402-011
"MJPAPBCWREIS, Sodum",28234000615
"GOVT SW BOYS HOSTEL, GAJJALAKONDA",0709-2402-001
"GOVT. B.C. BOYS HOSTEL, DAKKILI",0810-2503-004
