District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",DRINKING_WATER_RATING,Water facility issues,227,281,7 (3% of feedbacks),No facility drink water ; Water problem ; It would be better if the drinking water facility was better. ; No ro plant for drinking water ; It would be better if the drinking water facility was better. ; Water plant ice filter ; No water
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DRINKING_WATER_RATING,Unpurified water provision,57,73,6 (8% of feedbacks),No water fasetelus ; Mineral Water Not Provided ; Worst drinking water was not purified ; Water fesility is not good ; I hate that water ; Need providing mineral water
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DRINKING_WATER_RATING,Lack of mineral water,28,30,5 (17% of feedbacks),"We have mineral water levu ; no kavuna 1 ; no mineral water facility ; When the second Sunday came, my parents got drunk and looked at me. It wasn't good. Water bagalevu Ha ; 1 cup of water 1 Mineral water levu"
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",EXTRACURRICULAR_RATING,Lack of sports/activities,360,487,4 (1% of feedbacks),"Please provide games for children. ; No Sports,No Activities ; there is no teacher. ; Sports are not good."
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",DRINKING_WATER_RATING,No mineral / bad water,111,143,4 (3% of feedbacks),no minaral water ; Drinking water is not good ; water are not properly having sometimes ; no mineral water
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",DRINKING_WATER_RATING,"Water problem, no RO plant",225,283,3 (1% of feedbacks),"Water problem ; Drinking water is not good, so install an RO plant in the school. ; Water is not available properly."
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",TEACHER_COMMUNICATION_RATING,Teacher/staff shortage/words,225,341,3 (1% of feedbacks),Teachers is not working and staff chala thakuvani thelisindhi.konni subjects ki assalu Teachers leru antaa ; english dol ga vundhi
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,DUPADU",CARETAKER_SATISFACTION,"Poor hygiene, animal issues",63,71,2 (3% of feedbacks),Neatenes ledu pellalaki and monkeys problem ; Health carring ledu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",EXTRACURRICULAR_RATING,Lack of parent communication,81,96,2 (2% of feedbacks),Parents' meetings are not being held every month. ; We have not received any information about the amount of money we have spent.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",SAFETY_MEASURES_RATING,"Unsafe, unclean dormitory",64,76,2 (3% of feedbacks),So many times crack my child luggage box ; darmetery is not safe and not clean
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DIET_MENU_RATING,Unappetizing/Bad Food,361,488,2 (0% of feedbacks),",food bagaledhu ; Pulihara Upma is not good, everything else is good."
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",DRINKING_WATER_RATING,No Water Facility,51,57,2 (4% of feedbacks),No water in toilets ; We are giving a rating of 1 because there is no proper facility in your village among the schools.
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",DRINKING_WATER_RATING,Improper/muddy drinking water,295,335,2 (1% of feedbacks),Hostel lo water sarigga levu ani ma ammayi maku cheppindi ; There is no proper water. Muddy water we are drinking.
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",DRINKING_WATER_RATING,Water problem,82,95,2 (2% of feedbacks),Water n ; Water problem
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",EXTRACURRICULAR_RATING,Insufficient sports time,263,308,2 (1% of feedbacks),There are focusing much time in studies small amount of time in sports ; Not good at all
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",DIET_MENU_RATING,Food taste/consistency issues,227,343,2 (1% of feedbacks),"The food doesn't taste that good. ; Rating: 2 cups of water, add a little bit of sambar water, it's watery."
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",EXTRACURRICULAR_RATING,PET Teachers not working,249,303,2 (1% of feedbacks),PET Teachers Not Working ; children's not games
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",DRINKING_WATER_RATING,No drinking water,28,44,2 (5% of feedbacks),There is no drinking water there at all. ; Upper nerve Water problem
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",OVERALL_SATISFACTION_RATING,"Poor games, no reason",76,97,2 (2% of feedbacks),Games are poor ; No reason
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",EXTRACURRICULAR_RATING,No games/sports,420,546,2 (0% of feedbacks),My Child No Games ; No sports
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",EXTRACURRICULAR_RATING,Sports development needed,193,241,2 (1% of feedbacks),"It would be good if sports development for children started from 5th grade. ; It is good to provide sports training to children in the younger grades, i.e. from the 5th grade onwards."
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",EXTRACURRICULAR_RATING,No activities provided,304,395,2 (1% of feedbacks),anything else ; No provided 2 No provided 2
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DRINKING_WATER_RATING,"Water problem, no filter",217,265,2 (1% of feedbacks),Water problem ; There is no access to proper drinking water. Children are only getting filtered water once a day 😥 ; filter water ledu parents vellinappudu chala ibbandi padutharu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",DRINKING_WATER_RATING,Shortage of drinking water,92,114,2 (2% of feedbacks),shortage of drinking water ; water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",DRINKING_WATER_RATING,"Unpurified water, slow repair",246,305,2 (1% of feedbacks),because Drinking water not purifier and any thing damage not immediately repair that's all ; General Water
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",TEACHER_COMMUNICATION_RATING,No communication from teachers,218,265,1 (0% of feedbacks),samacharam andlattlesu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CARETAKER_SATISFACTION,No permanent caretaker,216,262,1 (0% of feedbacks),"There is no permanent caretaker in the school. The current teacher there is working as a caretaker, which is detrimental to the children's..education..system 😥"
WEST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,ARUGOLANU",EXTRACURRICULAR_RATING,Lack of extracurriculars,9,9,1 (11% of feedbacks),Atalu levu only Chaduvu matrame
VISAKHAPATANAM,"Dr. B. R. Ambedkar Gurukulam/JC,MEGADRIGADDA",OVERALL_SATISFACTION_RATING,Poor school maintenance,3,3,1 (33% of feedbacks),Education is good one of the corporate school /college Maintains not good
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",SAFETY_MEASURES_RATING,Safety concerns expressed,264,309,1 (0% of feedbacks),I'm crying.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",TEACHER_COMMUNICATION_RATING,No teacher communication,92,114,1 (1% of feedbacks),We don't know if there is any progress in the children. The teachers have not even called to say that this is the situation of your children.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",PRINCIPAL_SATISFACTION,Principal lacks student knowledge,92,115,1 (1% of feedbacks),The principal does not know the father or mother of the student.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",CARETAKER_SATISFACTION,Caretaker unresponsive,91,113,1 (1% of feedbacks),"If the caretaker calls at all, there is no reply."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",EXTRACURRICULAR_RATING,No sports/games,88,113,1 (1% of feedbacks),"Sports, games emlev"
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",DRINKING_WATER_RATING,Only one RO plant,105,113,1 (1% of feedbacks),There is only one R O water plant.
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",DRINKING_WATER_RATING,Issues with water supply,129,164,1 (1% of feedbacks),Water Supply 2
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",OVERALL_SATISFACTION_RATING,Need for overall improvement,19,26,1 (4% of feedbacks),Many things need to be improved
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",TEACHER_COMMUNICATION_RATING,Lack of information,19,26,1 (4% of feedbacks),They are not giving information.
KURNOOL,"DR.B.R.AMBEDKAR GURUKULAM,VELDURTHY",DIET_MENU_RATING,Unappetizing food,206,254,1 (0% of feedbacks),It doesn't taste good if you eat it.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",EXTRACURRICULAR_RATING,Child not playing games,100,128,1 (1% of feedbacks),Our sin does not play games.
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",PRINCIPAL_SATISFACTION,Student dissatisfaction,11,14,1 (7% of feedbacks),she is very hard working but ni student can feel happy ...
