District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",DRINKING_WATER_RATING,No/poor drinking water facility,227,281,7 (2% of feedbacks),No facility drink water ; Water problem ; It would be better if the drinking water facility was better ; No ro plant for drinking water ; It would be better if the drinking water facility was better ; No water
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DRINKING_WATER_RATING,No/poor drinking water,57,73,6 (8% of feedbacks),No water fasetelus ; Mineral Water Not Provided ; Worst drinking water was not purified ; Water fesility is not good ; I hate that water ; Need providing mineral water
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",DRINKING_WATER_RATING,No mineral/poor water,111,143,4 (3% of feedbacks),no minaral water ; Drinking water is not good ; water are not properly having sometimes ; no mineral water
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",Multiple,Poor facilities and diet,297,337,3 (89% of feedbacks),Government tablet too bad ; There is no proper cooking ; it is more than jail
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",Multiple,Staffing and maintenance issues,75,84,3 (71% of feedbacks),Not. Satisfied. because of class are not. Properly ; Lack of lecturers for four months after the college opened ; The bathroom is dirty.
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DRINKING_WATER_RATING,No mineral water facility,28,30,3 (10% of feedbacks),no mineral water facility ; Water bagalevevu ; 1 cup of water 1 Mineral water levu
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",DRINKING_WATER_RATING,Water not available/purified,225,283,3 (1% of feedbacks),"Water problem ; Drinking water is not good, so install an RO plant in the school ; Water is not available properly"
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",EXTRACURRICULAR_RATING,No sports/activities/teacher,360,487,3 (1% of feedbacks),"Please provide games for children ; No Sports,No Activities ; there is no teacher"
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DRINKING_WATER_RATING,No proper drinking water,217,265,3 (1% of feedbacks),Water problem ; There is no access to proper drinking water ; filter water ledu parents vellinappudu chala ibbandi padutharu
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",TEACHER_COMMUNICATION_RATING,Poor teacher communication,97,126,2 (2% of feedbacks),very very bad. No satisfactions ; Teachers are very experienced teacher's any one not understand they explain so many times
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",Multiple,Insufficient staff and resources,27,32,2 (56% of feedbacks),"There should be two PETs in schools, but there is only one, so there is no proper sports spirit. There are not enough full stops for children in schools, so even the one PET that exists is not able to provide sports because they are studying ; Because boar water"
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,MALUGURU",Multiple,Staff shortages and dissatisfaction,39,46,2 (93% of feedbacks),What are you missing? ; Very dissatisfied because lack of chefs
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",Multiple,Diet and cleanliness complaints,192,236,2 (87% of feedbacks),Nothing Have ; Wednesday Bency Matram Petttadhu Yebidda Kuda Thinadhu 2 Okay
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",DRINKING_WATER_RATING,Water not purified properly,248,302,2 (1% of feedbacks),Filtered water does not contain ; Not properly purified
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",DRINKING_WATER_RATING,Water shortage,92,114,2 (2% of feedbacks),shortage of drinking water ; water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",DRINKING_WATER_RATING,Water not purified/unrepaired,246,305,2 (1% of feedbacks),Drinking water not purifier and any thing damage not immediately repair ; General Water
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",DRINKING_WATER_RATING,Water problem,82,95,2 (2% of feedbacks),Water n ; Water problem
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",EXTRACURRICULAR_RATING,"Too much study, no sports",263,308,2 (1% of feedbacks),There are focusing much time in studies small amount of time in sports ; Not good at all
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",EXTRACURRICULAR_RATING,PET teacher not working,249,303,2 (1% of feedbacks),PET Teachers Not Working ; children's not games
