District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",DRINKING_WATER_RATING,No water facility / Poor purification,227,281,6 (2% of feedbacks),No facility drink water ; Water problem ; It would be better if the drinking water facility was better ; No ro plant for drinking water ; Water plant ice filter ; No water
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DRINKING_WATER_RATING,Unpurified and unfit water,57,73,5 (7% of feedbacks),No water fasetelus ; Mineral Water Not Provided ; Worst drinking water was not purified ; Water fesility is not good ; I hate that water ; Need providing mineral water
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",EXTRACURRICULAR_RATING,Lack of sports activities,360,487,3 (1% of feedbacks),"Please provide games for children ; No Sports,No Activities ; there is no teacher ; Sports are not good"
SPSR NELLORE,"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",DRINKING_WATER_RATING,No mineral water,111,143,3 (2% of feedbacks),no minaral water ; Drinking water is not good ; water are not properly having sometimes ; no mineral water
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",DRINKING_WATER_RATING,Water availability issues,225,283,3 (1% of feedbacks),"Water problem ; Drinking water is not good, so install an RO plant in the school ; Water is not available properly. There is no waiting hall for parents"
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",TEACHER_COMMUNICATION_RATING,Poor teacher communication,97,126,2 (2% of feedbacks),very very bad. No satisfactions ; Teachers are very experienced teacher's any one not understand they explain so many times
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",EXTRACURRICULAR_RATING,PET teachers not working,249,303,2 (1% of feedbacks),PET Teachers Not Working ; children's not games
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DRINKING_WATER_RATING,Mineral water not provided,28,30,2 (7% of feedbacks),no kavuna 1 ; no mineral water facility ; Water bagalevu Ha ; 1 cup of water 1 Mineral water levu
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,JC,CHIMAKURTHY",EXTRACURRICULAR_RATING,Excessive academics/No sports,263,308,2 (1% of feedbacks),There are focusing much time in studies small amount of time in sports ; Not good at all
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",DRINKING_WATER_RATING,Water issues,82,95,2 (2% of feedbacks),Water n ; Water problem
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",DRINKING_WATER_RATING,Water shortage,92,114,2 (2% of feedbacks),shortage of drinking water ; water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",DRINKING_WATER_RATING,Unpurified water/No maintenance,246,305,2 (1% of feedbacks),because Drinking water not purifier and any thing damage not immediately repair that's all ; General Water
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",DRINKING_WATER_RATING,No proper drinking water,217,265,2 (1% of feedbacks),Water problem ; There is no access to proper drinking water. Children are only getting filtered water once a day 😥 ; filter water ledu parents vellinappudu chala ibbandi padutharu
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DRINKING_WATER_RATING,Water quality issues,70,80,1 (1% of feedbacks),"If the water is not clean, install a water filter. Sometimes the filter works, sometimes it doesn't. Children drink water."
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",DIET_MENU_RATING,Food quality issues,69,79,1 (1% of feedbacks),They are serving uncooked rice.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",OVERALL_SATISFACTION_RATING,Poor facilities and food,65,75,1 (1% of feedbacks),dormitary maintenance and testy food and drinking water parents waiting place and rooms
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",PRINCIPAL_SATISFACTION,Principal dissatisfaction,364,489,1 (0% of feedbacks),Not satisfied at all
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",PRINCIPAL_SATISFACTION,Lack of qualified faculty,60,74,1 (1% of feedbacks),No senior IIT faculty in collage teaching farfams poor
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",DRINKING_WATER_RATING,No water supply,264,310,1 (0% of feedbacks),No vater
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KAMBALAPADU",CARETAKER_SATISFACTION,No caretaker available,283,312,1 (0% of feedbacks),There is no caretaker
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",EXTRACURRICULAR_RATING,Lack of sports focus,326,388,1 (0% of feedbacks),"So far, sports haven't been mentioned much."
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",EXTRACURRICULAR_RATING,No sports activities,297,337,1 (0% of feedbacks),there is no sports
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",OVERALL_SATISFACTION_RATING,General dissatisfaction,292,329,1 (0% of feedbacks),we are not satisfied
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam Jr. College,KOTTURU (LN PURAM JC)",OVERALL_SATISFACTION_RATING,Poor classroom furniture,17,19,1 (5% of feedbacks),because of the classroom benches is very bad
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",EXTRACURRICULAR_RATING,No sportsmanship,40,48,1 (2% of feedbacks),No sportsmanship
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",DIET_MENU_RATING,Poor diet quality,81,95,1 (1% of feedbacks),Not very good
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",EXTRACURRICULAR_RATING,Unclear activities,77,99,1 (1% of feedbacks),What's happening?
NTR,"Dr. B. R. Ambedkar Gurukulam/JC,KRISHNARAOPALEM",SAFETY_MEASURES_RATING,Safety concerns,6,6,1 (17% of feedbacks),It will be good.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",TEACHER_COMMUNICATION_RATING,Lack of progress updates,92,114,1 (1% of feedbacks),We don't know if there is any progress in the children. The teachers have not even called to say that this is the situation of your children.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",CARETAKER_SATISFACTION,No reply from caretaker,91,113,1 (1% of feedbacks),"If the caretaker calls at all, there is no reply."
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",PRINCIPAL_SATISFACTION,Principal unaware of parents,92,115,1 (1% of feedbacks),The principal does not know the father or mother of the student.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",CARETAKER_SATISFACTION,No permanent caretaker,216,262,1 (0% of feedbacks),"There is no permanent caretaker in the school. The current teacher there is working as a caretaker, which is detrimental to the children's..education..system 😥"
VISAKHAPATANAM,"Dr. B. R. Ambedkar Gurukulam/JC,MEGADRIGADDA",OVERALL_SATISFACTION_RATING,Poor maintenance standards,3,3,1 (33% of feedbacks),Education is good one of the corporate school /college Maintains not good
