"id","session_id","user_id","dist_code","district","school_code","school_name","category","rating","rating_reason","original_message","translated_message","processed_at"
361723,"00megi0k7j7em7wz6qzrvgirw9kgvc8g","3049","521","VIZIANAGARAM","2204-2501-004","GOVT BC COLLEGE GIRLS HOSTEL, CHEEPURUPALLI","EDUCATION_QUALITY_RATING",4,"Good education satisfied","Good education satisfied",NULL,"2026-04-22 21:49:33.805434"
361729,"00megi0k7j7em7wz6qzrvgirw9kgvc8g","3049","521","VIZIANAGARAM","2204-2501-004","GOVT BC COLLEGE GIRLS HOSTEL, CHEEPURUPALLI","DIET_MENU_RATING",1,"No test","1 No test",NULL,"2026-04-22 21:49:33.805434"
361788,"012n5nbjc1oroa6j92k3cvtapug0yzjw","12451","755","NANDYAL","28213800944","Dr. B. R. Ambedkar Gurukulam,ALLAGADDA","HEALTHCARE_RATING",5,"It is very good.","ఇట్ ఇస్ very good","It is very good.","2026-04-22 21:49:33.805434"
361790,"012n5nbjc1oroa6j92k3cvtapug0yzjw","12451","755","NANDYAL","28213800944","Dr. B. R. Ambedkar Gurukulam,ALLAGADDA","SAFETY_MEASURES_RATING",5,"is very good","5 చాలానంచిగా ఉంది","5 is very good","2026-04-22 21:49:33.805434"
361791,"012n5nbjc1oroa6j92k3cvtapug0yzjw","12451","755","NANDYAL","28213800944","Dr. B. R. Ambedkar Gurukulam,ALLAGADDA","EXTRACURRICULAR_RATING",5,"very good","5 very good","5 very good","2026-04-22 21:49:33.805434"
361864,"01vr3azksaxd3m7h5om7l4t4ly5w8xj9","5678","752","TIRUPATI","28193401405","Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI","PRINCIPAL_SATISFACTION",5,"good","5 good",NULL,"2026-04-22 21:49:33.805434"
361866,"01vr3azksaxd3m7h5om7l4t4ly5w8xj9","5678","752","TIRUPATI","28193401405","Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI","TEACHER_COMMUNICATION_RATING",5,"good 👍","5 good 👍",NULL,"2026-04-22 21:49:33.805434"
361867,"01vr3azksaxd3m7h5om7l4t4ly5w8xj9","5678","752","TIRUPATI","28193401405","Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI","DRINKING_WATER_RATING",5,"good","5 good",NULL,"2026-04-22 21:49:33.805434"
361868,"01vr3azksaxd3m7h5om7l4t4ly5w8xj9","5678","752","TIRUPATI","28193401405","Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI","HEALTHCARE_RATING",5,"good","5 good",NULL,"2026-04-22 21:49:33.805434"
361913,"02aetak10g4nlk36gjhbchw1bbor4a9x","4217","755","NANDYAL","28210901006","Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM","EDUCATION_QUALITY_RATING",5,"Very satisfied","Very satisfied",NULL,"2026-04-22 21:49:33.805434"
361914,"02aetak10g4nlk36gjhbchw1bbor4a9x","4217","755","NANDYAL","28210901006","Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM","PRINCIPAL_SATISFACTION",5,"Very satisfied","Very satisfied",NULL,"2026-04-22 21:49:33.805434"
361915,"02aetak10g4nlk36gjhbchw1bbor4a9x","4217","755","NANDYAL","28210901006","Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM","CARETAKER_SATISFACTION",5,"Very satisfied","Very satisfied",NULL,"2026-04-22 21:49:33.805434"
361916,"02aetak10g4nlk36gjhbchw1bbor4a9x","4217","755","NANDYAL","28210901006","Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM","TEACHER_COMMUNICATION_RATING",5,"Very satisfied","Very satisfied",NULL,"2026-04-22 21:49:33.805434"
