id,session_id,user_id,dist_code,district,school_code,school_name,category,rating,rating_reason,original_message,translated_message,processed_at
100,00megi0k7j7em7wz6qzrvgirw9kgvc8g,"3,049",521,VIZIANAGARAM,2204-2501-004,"GOVT BC COLLEGE GIRLS HOSTEL, CHEEPURUPALLI",EDUCATION_QUALITY_RATING,4,Good education satisfied,Good education satisfied,,"May 7, 2026, 8:26 PM"
106,00megi0k7j7em7wz6qzrvgirw9kgvc8g,"3,049",521,VIZIANAGARAM,2204-2501-004,"GOVT BC COLLEGE GIRLS HOSTEL, CHEEPURUPALLI",DIET_MENU_RATING,1,No test,1 No test,,"May 7, 2026, 8:26 PM"
165,012n5nbjc1oroa6j92k3cvtapug0yzjw,"12,451",755,NANDYAL,28213800944,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",HEALTHCARE_RATING,5,It is very good.,ఇట్ ఇస్ very good,It is very good.,"May 7, 2026, 8:26 PM"
167,012n5nbjc1oroa6j92k3cvtapug0yzjw,"12,451",755,NANDYAL,28213800944,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",SAFETY_MEASURES_RATING,5,is very good,5 చాలానంచిగా ఉంది,5 is very good,"May 7, 2026, 8:26 PM"
168,012n5nbjc1oroa6j92k3cvtapug0yzjw,"12,451",755,NANDYAL,28213800944,"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",EXTRACURRICULAR_RATING,5,very good,5 very good,5 very good,"May 7, 2026, 8:26 PM"
241,01vr3azksaxd3m7h5om7l4t4ly5w8xj9,"5,678",752,TIRUPATI,28193401405,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",PRINCIPAL_SATISFACTION,5,good,5 good,,"May 7, 2026, 8:26 PM"
243,01vr3azksaxd3m7h5om7l4t4ly5w8xj9,"5,678",752,TIRUPATI,28193401405,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",TEACHER_COMMUNICATION_RATING,5,good 👍,5 good 👍,,"May 7, 2026, 8:26 PM"
244,01vr3azksaxd3m7h5om7l4t4ly5w8xj9,"5,678",752,TIRUPATI,28193401405,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",DRINKING_WATER_RATING,5,good,5 good,,"May 7, 2026, 8:26 PM"
245,01vr3azksaxd3m7h5om7l4t4ly5w8xj9,"5,678",752,TIRUPATI,28193401405,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",HEALTHCARE_RATING,5,good,5 good,,"May 7, 2026, 8:26 PM"
290,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",EDUCATION_QUALITY_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
291,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",PRINCIPAL_SATISFACTION,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
292,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",CARETAKER_SATISFACTION,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
293,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",TEACHER_COMMUNICATION_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
294,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",DRINKING_WATER_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
295,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",HEALTHCARE_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
296,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",DIET_MENU_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
297,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",SAFETY_MEASURES_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
298,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",EXTRACURRICULAR_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
299,02aetak10g4nlk36gjhbchw1bbor4a9x,"4,217",755,NANDYAL,28210901006,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",OVERALL_SATISFACTION_RATING,5,Very satisfied,Very satisfied,,"May 7, 2026, 8:26 PM"
313,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",TEACHER_COMMUNICATION_RATING,,Gaining knowledge,Gaining knowledge,Gaining knowledge,"May 7, 2026, 8:26 PM"
314,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",DRINKING_WATER_RATING,5,anytime in freshwater,5 any time in freshwater,5 anytime in freshwater,"May 7, 2026, 8:26 PM"
315,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",HEALTHCARE_RATING,5,anytime checking doctors,5 any time checking doctors,5 anytime checking doctors,"May 7, 2026, 8:26 PM"
316,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",DIET_MENU_RATING,5,anytime healthy 🥝🥑,5 anytime healthy 🥝🥑,5 anytime healthy 🥝🥑,"May 7, 2026, 8:26 PM"
317,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",SAFETY_MEASURES_RATING,3,safe zoon,12345 safe zoon,12345 safe zoon,"May 7, 2026, 8:26 PM"
318,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",EXTRACURRICULAR_RATING,3,healthy and strong,12345 healthy and strong,12345 healthy and strong,"May 7, 2026, 8:26 PM"
319,02dj4u5slxfapoy9k4ebft6uuhpvyfzk,"3,651",505,EAST GODAVARI,28151690341,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",OVERALL_SATISFACTION_RATING,,12345life time samtrupthi,12345life time samtrupthi,12345life time samtrupthi,"May 7, 2026, 8:26 PM"
360,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",EDUCATION_QUALITY_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
361,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",PRINCIPAL_SATISFACTION,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
362,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",CARETAKER_SATISFACTION,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
363,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",TEACHER_COMMUNICATION_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
364,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",DRINKING_WATER_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
365,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",HEALTHCARE_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
366,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",DIET_MENU_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
367,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",SAFETY_MEASURES_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
368,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",EXTRACURRICULAR_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
369,02w7esfucx8ues398no6kx6ueo6nnghb,"1,920",505,EAST GODAVARI,28142990336,"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",OVERALL_SATISFACTION_RATING,4,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,"May 7, 2026, 8:26 PM"
409,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,EDUCATION_QUALITY_RATING,4,ఐ యాం శాటిరిఫైడ్,ఐ యాం శాటిరిఫైడ్,,"May 7, 2026, 8:26 PM"
410,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,PRINCIPAL_SATISFACTION,5,Yes,Yes,,"May 7, 2026, 8:26 PM"
411,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,CARETAKER_SATISFACTION,4,వైయస్,వైయస్,,"May 7, 2026, 8:26 PM"
412,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,TEACHER_COMMUNICATION_RATING,4,ఎవరు టీచర్ వెరీ గుడ్ టీచింగ్,ఎవరు టీచర్ వెరీ గుడ్ టీచింగ్,,"May 7, 2026, 8:26 PM"
413,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,DRINKING_WATER_RATING,4,డ్రింకింగ్ వాటర్ వెరీ సూపర్,డ్రింకింగ్ వాటర్ వెరీ సూపర్,,"May 7, 2026, 8:26 PM"
414,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,HEALTHCARE_RATING,4,Iam satisified,Iam satisified,,"May 7, 2026, 8:26 PM"
415,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,DIET_MENU_RATING,,Yes the diet menu is very healthy to child,Yes the diet menu is very healthy to child,,"May 7, 2026, 8:26 PM"
416,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,SAFETY_MEASURES_RATING,5,Yes,Yes,,"May 7, 2026, 8:26 PM"
417,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,EXTRACURRICULAR_RATING,5,Yes,Yes,,"May 7, 2026, 8:26 PM"
418,03pajy7744hbjv5j2ge4v3d3yk31dywb,6,,,,,OVERALL_SATISFACTION_RATING,5,Very good facilties,Very good facilties,,"May 7, 2026, 8:26 PM"
479,042cumwx4anacs8trniz80gyw1v97ejl,"10,704",752,TIRUPATI,28193800106,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",PRINCIPAL_SATISFACTION,,Speed ​​up,Speed up,Speed ​​up,"May 7, 2026, 8:26 PM"
652,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,SAFETY_MEASURES_RATING,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
521,04ahwdgowppibj693na6wpt2s135ndr2,"13,308",750,BAPATLA,30729000000,Dr. B. R. Ambedkar Gurukulam NARASAYAPALEM,HEALTHCARE_RATING,5,healthcare facilities are good,5 healthcare facilities are good,,"May 7, 2026, 8:26 PM"
524,04ahwdgowppibj693na6wpt2s135ndr2,"13,308",750,BAPATLA,30729000000,Dr. B. R. Ambedkar Gurukulam NARASAYAPALEM,EXTRACURRICULAR_RATING,5,extracurricular activities are good,5 extracurricular activities are good,,"May 7, 2026, 8:26 PM"
525,04ahwdgowppibj693na6wpt2s135ndr2,"13,308",750,BAPATLA,30729000000,Dr. B. R. Ambedkar Gurukulam NARASAYAPALEM,OVERALL_SATISFACTION_RATING,5,overall facilities are  good,5 overall facilities are  good,,"May 7, 2026, 8:26 PM"
653,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,EXTRACURRICULAR_RATING,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
550,04hwxrizppbt0bloxguwo90oepn4frlk,"6,017",504,Y.S.R.,28203190346,"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",DRINKING_WATER_RATING,1,No water fasetelus,1 No water fasetelus,,"May 7, 2026, 8:26 PM"
580,04rv7pko8vxiefa2w75l9xn04rgabhbb,"9,748",511,KURNOOL,28210500908,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",DRINKING_WATER_RATING,4,We are very satisfied with our children's progress.,మేము మా పిల్లల పురోగతి పట్ల చాలా సంతృప్తిగా ఉన్నాను,We are very satisfied with our children's progress.,"May 7, 2026, 8:26 PM"
581,04rv7pko8vxiefa2w75l9xn04rgabhbb,"9,748",511,KURNOOL,28210500908,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",HEALTHCARE_RATING,5,",5",",5",",5","May 7, 2026, 8:26 PM"
582,04rv7pko8vxiefa2w75l9xn04rgabhbb,"9,748",511,KURNOOL,28210500908,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",DIET_MENU_RATING,4,I am very satisfied. I am very satisfied.,చాలా సంతృప్తిగా ఉన్నాను చాలా సంతృప్తిగా ఉన్నాను,I am very satisfied. I am very satisfied.,"May 7, 2026, 8:26 PM"
585,04rv7pko8vxiefa2w75l9xn04rgabhbb,"9,748",511,KURNOOL,28210500908,"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",OVERALL_SATISFACTION_RATING,5,",5",",5",",5","May 7, 2026, 8:26 PM"
625,0537cuvafydn56fx7ewax62g1cxg7ucp,"4,802",503,CHITTOOR,28235491821,"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",EDUCATION_QUALITY_RATING,5,"I'm very happy the education from government is very good which leads to my child talk in English and she good at every subjects and she know how we talk with others like friendly, respectfully, politely etc,,","5 I'm very happy the education from government is very good which leads to my child talk in English and she good at every subjects and she know how we talk with others like friendly, respectfully, politely etc,,",,"May 7, 2026, 8:26 PM"
626,0537cuvafydn56fx7ewax62g1cxg7ucp,"4,802",503,CHITTOOR,28235491821,"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",PRINCIPAL_SATISFACTION,5,",yes the principal working way is very good to us","5 ,yes the principal working way is very good to us",,"May 7, 2026, 8:26 PM"
627,0537cuvafydn56fx7ewax62g1cxg7ucp,"4,802",503,CHITTOOR,28235491821,"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",CARETAKER_SATISFACTION,5,"the caretaker working is very good,the menu is very good","5 the caretaker working is very good,the menu is very good",,"May 7, 2026, 8:26 PM"
632,0537cuvafydn56fx7ewax62g1cxg7ucp,"4,802",503,CHITTOOR,28235491821,"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",SAFETY_MEASURES_RATING,5,yes,5 yes,,"May 7, 2026, 8:26 PM"
645,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,EDUCATION_QUALITY_RATING,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
646,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,PRINCIPAL_SATISFACTION,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
647,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,CARETAKER_SATISFACTION,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
648,05g2wi449y4biets4i9g03vl98k0teuv,6,,,,,TEACHER_COMMUNICATION_RATING,5,Very Satisfied,Very Satisfied,,"May 7, 2026, 8:26 PM"
