school_name,district,school_code,dist_code,total_feedback,rating_1,rating_2,rating_3,rating_4,rating_5,total_rated,reasons_with_text
"EMRS(CO-EDU),KOYYURU",ALLURI SITHARAMA RAJU,28131210116,745,10,0,0,0,0,10,10,0
"EMRS(CO-EDU),PADERU",ALLURI SITHARAMA RAJU,28131210114,745,10,0,0,0,0,10,10,0
GTW ASHRAM SCHOOL(BOYS) CHINTHAPALLI-2,ALLURI SITHARAMA RAJU,0206-2403-033,745,10,0,0,0,0,10,10,0
GTW ASHRAM SCHOOL(BOYS) PEDAVALASA,ALLURI SITHARAMA RAJU,0206-2403-023,745,10,0,0,0,0,9,9,9
GTW ASHRAM SCHOOL(BOYS) SEEKARI,ALLURI SITHARAMA RAJU,0213-2403-030,745,10,0,0,0,1,9,10,1
GTW ASHRAM SCHOOL(BOYS) TALARISINGI PADERU,ALLURI SITHARAMA RAJU,0213-2403-006,745,10,0,0,0,0,8,8,10
GTW ASHRAM SCHOOL(GIRLS) RINTHADA,ALLURI SITHARAMA RAJU,0206-2403-047,745,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,KONAM",ANAKAPALLI,28130800106,744,440,0,0,4,7,429,440,23
"Dr. B. R. Ambedkar Gurukulam/JC,DEVARAPALLI",ANAKAPALLI,28130700414,744,30,0,0,1,18,10,29,2
"Dr. B. R. Ambedkar Gurukulam/JC,GOLUGONDA",ANAKAPALLI,28131501006,744,50,0,5,1,4,38,48,37
"Dr. B. R. Ambedkar Gurukulam/JC,KOKKIRAPALLY",ANAKAPALLI,28134100106,744,40,0,0,2,14,19,35,25
"Dr. B. R. Ambedkar Gurukulam/JC,NAKKAPALLI",ANAKAPALLI,28133902308,744,602,5,4,25,101,462,597,174
"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",ANAKAPALLI,28131700717,744,457,5,5,7,70,351,438,162
"Dr. B. R. Ambedkar Gurukulam/JC,SABBAVARAM",ANAKAPALLI,28132301309,744,10,0,0,0,3,6,9,10
"Dr. B. R. Ambedkar Gurukulam/JC,TALLAPALEM",ANAKAPALLI,28133501407,744,30,1,0,0,0,29,30,0
GTW ASHRAM SCHOOL(GIRLS) THANDAVA,ANAKAPALLI,0206-2403-045,744,6,2,0,0,3,1,6,2
"Govt. SW Girls Hostel, Ravikamatham",ANAKAPALLI,0210-2402-005,744,18,0,0,0,0,18,18,0
Govt.B.C.Boys Hostel Butchayyapeta,ANAKAPALLI,0210-2501-004,744,40,0,0,0,0,40,40,0
"Govt.B.C.Boys Hostel, Golugonda",ANAKAPALLI,0212-2501-005,744,10,0,0,0,0,10,10,0
KGBV NATHAVARAM,ANAKAPALLI,28131601211,744,20,0,0,1,5,14,20,10
"MJBCWREIS, Annavaram",ANAKAPALLI,28132701304,744,10,0,0,0,0,10,10,0
APRS ANANTAPUR,ANANTAPUR,28222591338,502,20,0,0,0,0,20,20,0
APRS GOOTY,ANANTAPUR,28220690323,502,20,0,0,0,2,18,20,0
APRS Kalayanadurgam,ANANTAPUR,28223400405,502,30,0,0,0,5,25,30,0
"APTWRS(B),B.K.SAMUDRAM",ANANTAPUR,28222601040,502,20,0,0,3,9,8,20,1
"APTWRS(G),ANANTHAPUR",ANANTAPUR,28222591557,502,30,2,0,1,0,27,30,0
"APTWRS(G),URAVAKONDA",ANANTAPUR,28221591160,502,20,0,0,0,1,19,20,0
"APTWURJC(B),GOLLALADODDI",ANANTAPUR,28220601103,502,30,0,0,0,1,29,30,1
"Dr. B. R. Ambedkar Gurukulam,B PAPPOOR",ANANTAPUR,28222701104,502,893,8,4,17,215,642,886,81
"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",ANANTAPUR,28222600405,502,4933,45,68,236,798,3736,4883,402
"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",ANANTAPUR,28223401006,502,2666,32,20,110,635,1841,2638,163
"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",ANANTAPUR,28222001107,502,962,17,11,54,70,808,960,45
"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",ANANTAPUR,28220600903,502,3038,86,23,121,266,2524,3020,507
"Dr. B. R. Ambedkar Gurukulam/JC,KANNEKAL",ANANTAPUR,28221701020,502,227,0,1,3,35,188,227,1
"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",ANANTAPUR,28222500704,502,5587,45,27,120,493,4852,5537,583
"Dr. B. R. Ambedkar Gurukulam/JC,URAVAKONDA",ANANTAPUR,28221591135,502,2091,4,0,18,194,1874,2090,41
"Dr. B.R.A.C.S.W.R Jr. College, KURUGUNTA (JR COL)",ANANTAPUR,28222500706,502,159,4,2,5,27,116,154,21
GOVT B.C BOYS HOSTEL KANEKAL,ANANTAPUR,1010-2503-002,502,10,0,0,0,0,10,10,0
GOVT B.C COLLEGE BOYS HOSTEL KALYANDURG,ANANTAPUR,1008-2503-007,502,10,0,0,0,0,10,10,0
GOVT B.C COLLEGE BOYS HOSTEL TADIPATRI,ANANTAPUR,1016-2503-008,502,10,0,0,0,0,10,10,0
GOVT B.C COLLEGE GIRLS HOSTEL ANANTHAPURAMU (URBAN),ANANTAPUR,1001-2503-016,502,10,0,0,0,0,10,10,0
GOVT B.C GIRLS HOSTEL II ANANTHAPURAMU,ANANTAPUR,1001-2503-004,502,10,0,0,1,2,7,10,0
GOVT B.C GIRLS HOSTEL NARPALA,ANANTAPUR,1015-2503-002,502,20,0,0,1,2,17,20,1
GOVT B.C GIRLS HOSTEL NUTHIMADUGU,ANANTAPUR,1008-2503-009,502,30,0,0,0,0,30,30,0
GOVT SW BOYS HOSTEL NO-3 KALYANADURG,ANANTAPUR,1008-2402-003,502,10,0,0,0,0,10,10,0
Govt SC College Boys Hostel No-2 Anantapur,ANANTAPUR,1001-2402-018,502,10,0,1,0,0,4,5,6
Govt SC College Girls Hostel No.4 Anantapur,ANANTAPUR,1001-2402-022,502,39,0,0,1,13,22,36,7
Govt SC College Girls Hostel-1 Anantapur,ANANTAPUR,1001-2402-013,502,10,0,0,0,3,7,10,1
Govt SC College Girls Hostel-2 Anantapur,ANANTAPUR,1001-2402-016,502,20,0,0,0,1,19,20,10
"Govt SW Boys Hostel, Bramhasamudram",ANANTAPUR,1008-2402-012,502,10,0,0,0,0,10,10,0
"Govt SW Boys Hostel, Settur",ANANTAPUR,1008-2402-011,502,10,0,0,0,1,9,10,0
"Govt SW Girls Hostel No.2, Kalyandurg",ANANTAPUR,1008-2402-010,502,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel No.1, Gooty",ANANTAPUR,1004-2402-001,502,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel No.1, Kambadur",ANANTAPUR,1009-2402-001,502,30,0,0,1,12,17,30,0
"Govt. SW Boys Hostel No.2, Uravakonda",ANANTAPUR,1017-2402-002,502,20,0,0,0,1,19,20,0
"Govt. SW Boys Hostel No.4, Anantapur",ANANTAPUR,1001-2402-004,502,30,0,0,0,1,29,30,0
"Govt. SW Boys Hostel,  Konakondla",ANANTAPUR,1005-2402-004,502,10,0,0,0,1,9,10,0
