school_name,school_code
"Dr. B.R.A.C.S.W.R Jr. College, KURUGUNTA (JR COL)",28222500706
"Dr. B. R. Ambedkar Gurukulam,ACHANTA",28154000853
"Dr. B. R. Ambedkar Gurukulam,ADAPUR AT NANDALURU",28204001806
"Dr. B. R. Ambedkar Gurukulam,ADAVITAKKILAPADU",28172600216
"Dr. B. R. Ambedkar Gurukulam,ADURUPALLI",28192001408
"Dr. B. R. Ambedkar Gurukulam,ALLAGADDA",28213800944
"Dr. B. R. Ambedkar Gurukulam,BOGOLE",28190600427
"Dr. B. R. Ambedkar Gurukulam,B PAPPOOR",28222701104
"Dr. B. R. Ambedkar Gurukulam,BUTCHIREDDIPALEM (BCRS)",28191800240
"Dr. B. R. Ambedkar Gurukulam,CHINTALAPUDI",28150902876
"Dr. B. R. Ambedkar Gurukulam,CHOLLANGIPETA",28143700204
"Dr. B. R. Ambedkar Gurukulam,DHONE(B)",51822200000
"Dr. B. R. Ambedkar Gurukulam,DRAKSARAMA",28143901513
"Dr.B.R.Ambedkar Gurukulam for Boys, Ramapuram, Annamayya District.",28203700609
"Dr. B. R. Ambedkar Gurukulam,GANNAVARAM",28144700721
"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",28234901409
"Dr. B. R. Ambedkar Gurukulam,GUNDLAKUNTA",28201600309
"Dr. B. R. Ambedkar Gurukulam,GURAJALA",28170300850
"Dr. B. R. Ambedkar Gurukulam,JAGANNAIKPUR at P VENKATAPURAM",28142391024
"Dr. B. R. Ambedkar Gurukulam,JAGGAMPETA",28141801614
"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",28212391303
"Dr. B. R. Ambedkar Gurukulam/JC,ALLAGADDA (RPRP)",28213800932
"Dr. B. R. Ambedkar Gurukulam/JC,ALLAVARAM",28145500809
"Dr. B. R. Ambedkar Gurukulam/JC,ALURU ( ARIKERA )",28212501503
"Dr. B. R. Ambedkar Gurukulam/JC,A.MALLAVARAM",28146004202
"Dr. B. R. Ambedkar Gurukulam/JC,AMARAVATHI",28170901014
"Dr. B. R. Ambedkar Gurukulam/JC,ARDHAVEEDU",28180800910
"Dr. B. R. Ambedkar Gurukulam/JC,ARUGOLANU",28151801509
"Dr. B. R. Ambedkar Gurukulam/JC,ATCHAMPETA",28170700809
"Dr. B. R. Ambedkar Gurukulam/JC,BADANGI",28121401607
"Dr. B. R. Ambedkar Gurukulam/JC,BAPATLA",28175790143
"Dr. B. R. Ambedkar Gurukulam/JC,BHAMINI (DPIP)",28111401509
"Dr. B. R. Ambedkar Gurukulam/JC,B KOTHAKOTA",28230500227
"Dr. B. R. Ambedkar Gurukulam/JC,B MATTAM",28200700616
"Dr. B. R. Ambedkar Gurukulam/JC,BRAHMASAMUDRAM (DPIP)",28222001107
"Dr. B. R. Ambedkar Gurukulam/JC,BURAKAYALKOTA",28230301309
"Dr. B. R. Ambedkar Gurukulam/JC,C BELGAL",28210500908
"Dr. B. R. Ambedkar Gurukulam/JC,CHEEPURAPALLI",28122300218
"Dr. B. R. Ambedkar Gurukulam/JC,CHELLAPALLI",28163200916
"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",28193800106
"Dr. B. R. Ambedkar Gurukulam/JC,CHIMAKURTHY",28182901214
"Dr. B. R. Ambedkar Gurukulam/JC,CHINNACHOWK",28203190346
"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",28235491821
"Dr. B. R. Ambedkar Gurukulam/JC,CUMBUM",28183400916
"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",28193401405
"Dr. B. R. Ambedkar Gurukulam/JC,DARSI",28181301119
"Dr. B. R. Ambedkar Gurukulam/JC,DEVAPATLA",28204700916
"Dr. B. R. Ambedkar Gurukulam/JC,DEVARAPALLI",28130700414
"Dr. B. R. Ambedkar Gurukulam/JC,DUPADU",28180301510
"Dr. B. R. Ambedkar Gurukulam/JC,DUPPALAVALASA",28110801002
"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",28151201112
"Dr. B. R. Ambedkar Gurukulam/JC,ELESWARAM",28141100716
"Dr. B. R. Ambedkar Gurukulam/JC,ELURU AT VATLURU",28152200208
"Dr. B. R. Ambedkar Gurukulam/JC,ETCHERLA",28110801504
"Dr. B. R. Ambedkar Gurukulam/JC,GANDIKSHETRAM",28203501002
"Dr. B. R. Ambedkar Gurukulam/JC,GODI AT KOMARAGIRI PATNAM",28145500807
"Dr. B. R. Ambedkar Gurukulam/JC,GOLUGONDA",28131501006
"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",28220600903
"Dr. B. R. Ambedkar Gurukulam/JC,GOPALAPURAM",28150501514
"Dr. B. R. Ambedkar Gurukulam/JC,GUDIVADA (BCRS)",28164290161
"Dr. B. R. Ambedkar Gurukulam/JC,GURUGUBILLI (DPIP)",28120502805
"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",28225790591
"Dr. B. R. Ambedkar Gurukulam/JC,JAGGAIAHPETA",28160190223
"Dr. B. R. Ambedkar Gurukulam/JC,JANGAREDDYGUDEM",28150701423
"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",28211501201
"Dr. B. R. Ambedkar Gurukulam/JC,KALASAMUDRAM",28224400203
"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",28202500523
"Dr. B. R. Ambedkar Gurukulam/JC,KAMBALAPADU",28212801007
"Dr. B. R. Ambedkar Gurukulam/JC,KANCHILI",28113504305
"Dr. B. R. Ambedkar Gurukulam/JC,KANNEKAL",28221701020
"Dr. B. R. Ambedkar Gurukulam/JC,KAREMPUDI",28171801009
"Dr. B. R. Ambedkar Gurukulam/JC,KODURU",28204400911
"Dr. B. R. Ambedkar Gurukulam/JC,KOILAKUNTLA",28214301425
"Dr. B. R. Ambedkar Gurukulam/JC,KOKKIRAPALLY",28134100106
"Dr. B. R. Ambedkar Gurukulam/JC,KOLLIVALASA",28111104302
"Dr. B. R. Ambedkar Gurukulam/JC,KOMARADA (DPIP)",28120105410
"Dr. B. R. Ambedkar Gurukulam/JC,KONDAPURAM",28200102414
"Dr. B. R. Ambedkar Gurukulam/JC,KOPPERLA",28122503104
"Dr. B. R. Ambedkar Gurukulam/JC,KOTA",28193901221
"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",28151690341
"Dr. B. R. Ambedkar Gurukulam/JC,KRISHNARAOPALEM",28161101116
"Dr. B. R. Ambedkar Gurukulam/JC,KUNTAMUKKALA",28160900919
"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",28236601304
"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",28211890453
"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",28222500704
"Dr. B. R. Ambedkar Gurukulam/JC,LAXMINARASAPURAM",28143300305
"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",28201200446
"Dr. B. R. Ambedkar Gurukulam/JC,MADANAPALLI (DPIP)",28233590594
"Dr. B. R. Ambedkar Gurukulam/JC,MALUGURU",28225700208
"Dr. B. R. Ambedkar Gurukulam/JC,MANDASA (DPIP)",28113302811
"Dr. B. R. Ambedkar Gurukulam/JC,MARKAPUR (BCRS)",28180900709
"Dr. B. R. Ambedkar Gurukulam/JC,MEGADRIGADDA",28132890945
"Dr. B. R. Ambedkar Gurukulam/JC,MUMMIDIVARAM",28145000727
"Dr. B. R. Ambedkar Gurukulam/JC,MUTHUKUR",28192901314
"Dr. B. R. Ambedkar Gurukulam/JC,NAGULAPALEM AT PARCHUR",28182101113
"Dr. B. R. Ambedkar Gurukulam/JC,NAIDUPET",28194202230
"Dr. B. R. Ambedkar Gurukulam/JC,NAKKAPALLI",28133902308
"Dr. B. R. Ambedkar Gurukulam/JC,NANDAMURU at Balliparru",28164402308
"Dr. B. R. Ambedkar Gurukulam/JC,NANDIGAM",28113007808
"Dr. B. R. Ambedkar Gurukulam/JC,NARSAPUR",28154501311
"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",28131700717
"Dr. B. R. Ambedkar Gurukulam/JC,NELLIMARLA",28122490817
"Dr. B. R. Ambedkar Gurukulam/JC,NIZAMPATNAM (PALLPATLA)",28175400507
"Dr. B. R. Ambedkar Gurukulam/JC,NORTH ADDANKI AT ADDANKI",28181601121
"Dr. B. R. Ambedkar Gurukulam/JC,NUZIVEEDU (G)",28162390533
"Dr. B. R. Ambedkar Gurukulam/JC,PALAMANERU",28235800316
"Dr. B. R. Ambedkar Gurukulam/JC,PALKONDA",28111202520
"Dr. B. R. Ambedkar Gurukulam/JC,PATHAPATNAM (DPIP)",28112502213
"Dr. B. R. Ambedkar Gurukulam/JC,PATTIKONDA",28215100734
"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",28214900639
"Dr. B. R. Ambedkar Gurukulam/JC,PEDAPAVANI",28185302012
"Dr. B. R. Ambedkar Gurukulam/JC,PEDAVEGI",28152101329
"Dr. B. R. Ambedkar Gurukulam/JC,PILERU",28233101211
"Dr. B. R. Ambedkar Gurukulam/JC,PITHAPURAM",28142190747
"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",28152000105
"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",28194202507
"Dr. B. R. Ambedkar Gurukulam/JC,PULIVENDULA",28202001463
"Dr. B. R. Ambedkar Gurukulam/JC,PUTTUR (DPIP)",28234400411
"Dr. B. R. Ambedkar Gurukulam/JC,RAMAKRISHNAPURAM",28171501406
"Dr. B. R. Ambedkar Gurukulam/JC,RAMAKUPPAM",28236301201
"Dr. B. R. Ambedkar Gurukulam/JC,RAPUR",28192301404
"Dr. B. R. Ambedkar Gurukulam/JC,RAYACHOTI (BCRS)",28204901108
"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",28145700415
"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",28163702004
"Dr. B. R. Ambedkar Gurukulam/JC,SABBAVARAM",28132301309
"Dr. B. R. Ambedkar Gurukulam/JC,SALURU",28121191048
"Dr. B. R. Ambedkar Gurukulam/JC,SANGAM",28191901212
"Dr. B. R. Ambedkar Gurukulam/JC,SARVEPALLI AT KODURU",28192801606
"Dr. B. R. Ambedkar Gurukulam/JC,SATHIVEDU (DPIP)",28231801915
"Dr. B. R. Ambedkar Gurukulam/JC,SCH_EXCL_PULIVENDULA",28201901503
"Dr. B. R. Ambedkar Gurukulam/JC,SCH_EXCL_VISAKHAPATNAM",28132800334
"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",28185690704
"Dr. B. R. Ambedkar Gurukulam/JC,S.M. NAGAR(KAKINADA)",28142495220
"Dr. B. R. Ambedkar Gurukulam/JC,SRIKALAHASTI",28231491163
"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",28194501324
"Dr. B. R. Ambedkar Gurukulam/JC,TALLAPALEM",28133501407
"Dr. B. R. Ambedkar Gurukulam/JC,THONDURU",28202200306
"Dr. B. R. Ambedkar Gurukulam/JC,TIRUVURU",28161300810
"Dr. B. R. Ambedkar Gurukulam/JC,T SUNDUR",28173300805
"Dr. B. R. Ambedkar Gurukulam/JC,TUNI",28140601512
"Dr. B. R. Ambedkar Gurukulam/JC,UPPALAPADU AT NS PROJECT NUZENDLA",28174401105
"Dr. B. R. Ambedkar Gurukulam/JC,URAVAKONDA",28221591135
"Dr. B. R. Ambedkar Gurukulam/JC,VAKADU",28194002613
"Dr. B. R. Ambedkar Gurukulam/JC,VANGARA (DPIP)",28110202102
"Dr. B. R. Ambedkar Gurukulam/JC,VEERALANKAPALLI",28141700317
"Dr. B. R. Ambedkar Gurukulam/JC,VEERAPANENIGUDEM",28162102014
"Dr. B. R. Ambedkar Gurukulam/JC,VELUGONDA",28181101305
"Dr. B. R. Ambedkar Gurukulam/JC,VEPADA (DPIP)",28123101007
"Dr. B. R. Ambedkar Gurukulam/JC,VIYAMPET (DPIP)",28123401510
"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",28170100210
"Dr. B. R. Ambedkar Gurukulam/JC,YEDDANAPUDI",28181900508
"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",28211801307
"Dr. B. R. Ambedkar Gurukulam Jr. College,KOTTURU (LN PURAM JC)",28143300238
"Dr. B. R. Ambedkar Gurukulam JUNIOR COLLEGE, AMARAPURAM",28226100323
"Dr. B. R. Ambedkar Gurukulam,KAKUMANU AT RETURU",28175790150
"Dr. B. R. Ambedkar Gurukulam,KONAM",28130800106
"Dr. B. R. Ambedkar Gurukulam,KONDEPI",28184201608
"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",28222600405
"Dr. B. R. Ambedkar Gurukulam,KUPPAM (VIJAPURAM)",28236302206
"Dr. B. R. Ambedkar Gurukulam,LAKKIREDDIPALLI",28203600530
"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",28210901006
"Dr. B. R. Ambedkar Gurukulam,NALLAMADA",28224700520
Dr. B. R. Ambedkar Gurukulam NARASAYAPALEM,30729000000
"Dr. B. R. Ambedkar Gurukulam,NARSAPURAM",28161400921
"Dr. B. R. Ambedkar Gurukulam,PAMARRU",28163901204
"Dr. B. R. Ambedkar Gurukulam,Parvathipuram Jr College",28120802104
"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",28235100604
"Dr. B. R. Ambedkar Gurukulam,RACHERLA",28183501014
"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",28142990336
"Dr. B. R. Ambedkar Gurukulam,REPALLEY (BCRS)",28175290847
"DR.B.R.AMBEDKAR GURUKULAM SCHOOL/JR.COLLEGE FOR GIRLS, RAJUPALEM AT VELLALA,YSR.DISTRICT.",28200401207
Dr. B. R. Ambedkar Gurukulam School Muppalla,28160500708
"Dr. B. R. Ambedkar Gurukulam,TADIKONDA",28171300620
"Dr. B. R. Ambedkar Gurukulam,THIMMAPUR",28223401006
"Dr. B. R. Ambedkar Gurukulam,VALMEEKIPURAM",28233301433
"DR.B.R.AMBEDKAR GURUKULAM,VELDURTHY",28212901017
New Nabard School Arugolanu At Peda Tadepalli,nabard002
New Nabard School B. Matham,nabard006
New Nabard School Hindupur,nabard007
New Nabard School Kurichedu,nabard005
New Nabard School Rolla,nabard008
New Nabard School Sattenapalli,nabard004
New Nabard School Tuni,nabard001
New Nabard School Yedlapadu,nabard003
